timestamp,color_resolution,depth_resolution,mode,position_quant_bits_in,color_quant_bits_in,encoding_speed_in,decoding_speed_in,position_quant_bits_out,color_quant_bits_out,encoding_speed_out,decoding_speed_out,layer0_on,layer1_on,layer2_on,points_in,points_out,points,frame_preparation_ms,data_preparation_ms,roi_encode_ms,out_encode_ms,encode_ms,one_way_ms,decode_ms,geometry_upload_ms,total_time_ms
2025-08-06T04:34:14.512066,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,5,True,True,True,34889,30113,65002,16.34,22.29,9.74,8.65,15.95,0.6,12.45,0.45,68.08
2025-08-06T04:34:17.042713,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,5,True,True,False,32855,18621,51476,16.6,22.16,7.6,5.48,12.4,0.57,10.01,0.41,62.15
2025-08-06T04:34:19.493287,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,5,True,False,True,32195,19973,52168,16.29,22.51,7.01,5.65,12.3,0.57,9.56,0.37,61.6
2025-08-06T04:34:21.859820,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,5,True,False,False,32341,13867,46208,15.99,20.87,6.62,3.95,10.64,0.77,8.25,0.31,56.82
2025-08-06T04:34:24.127421,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,5,False,True,True,32357,9370,41727,15.86,20.76,6.49,2.75,9.34,0.47,7.16,0.33,53.92
2025-08-06T04:34:26.409947,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,5,False,True,False,32414,3460,35874,16.48,21.61,6.64,1.07,7.89,0.77,5.82,0.22,52.79
2025-08-06T04:34:28.575989,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,5,False,False,True,32035,8226,40261,16.57,22.15,6.6,2.43,7.24,0.7,5.49,0.33,52.47
2025-08-06T04:34:30.942573,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,10,True,True,True,31717,23249,54966,15.88,21.39,6.64,4.5,11.18,0.77,7.77,0.38,57.36
2025-08-06T04:34:33.226939,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,10,True,True,False,30344,18174,48518,15.82,20.8,6.07,3.71,9.98,0.9,7.19,0.35,55.04
2025-08-06T04:34:35.560442,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,10,True,False,True,29954,20399,50353,16.88,21.34,5.93,4.09,10.2,0.63,7.26,0.41,56.72
2025-08-06T04:34:37.826525,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,10,True,False,False,29941,14379,44320,16.05,21.29,6.16,2.94,9.21,0.83,6.86,0.31,54.55
2025-08-06T04:34:39.994174,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,10,False,True,True,30135,9538,39673,16.01,20.8,6.2,1.94,8.27,0.7,5.87,0.26,51.9
2025-08-06T04:34:42.093202,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,10,False,True,False,30192,3572,33764,16.1,20.49,5.94,0.82,6.98,1.0,5.31,0.29,50.18
2025-08-06T04:34:44.394143,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,5,10,False,False,True,35102,11472,46574,16.41,21.32,7.34,2.53,9.6,0.9,7.12,0.37,55.72
2025-08-06T04:34:46.810068,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,10,5,True,True,True,33546,27193,60739,16.26,21.51,7.67,5.52,12.31,0.93,8.45,0.45,59.9
2025-08-06T04:34:49.576470,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,10,5,True,True,False,48486,40743,89229,16.16,22.2,15.09,7.96,17.78,0.9,12.51,0.68,70.23
2025-08-06T04:34:52.261077,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,10,5,True,False,True,51990,40891,92881,16.16,22.25,17.03,7.96,18.34,0.77,12.77,0.72,71.01
2025-08-06T04:34:54.926317,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,10,5,True,False,False,53834,28898,82732,16.3,22.15,15.62,5.71,16.55,0.3,11.36,0.6,67.26
2025-08-06T04:34:57.592522,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,10,5,False,True,True,54046,19016,73062,17.33,22.77,13.84,4.0,14.67,0.23,10.43,0.57,66.0
2025-08-06T04:35:00.010464,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,10,5,False,True,False,54017,7111,61128,16.19,21.8,11.65,1.64,12.22,0.37,8.71,0.44,59.73
2025-08-06T04:35:02.527218,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,10,5,False,False,True,53877,11824,65701,16.69,21.64,12.64,2.6,13.31,0.4,9.44,0.5,61.99
2025-08-06T04:35:05.309786,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,10,10,True,True,True,52943,45832,98775,16.07,22.41,17.89,8.72,19.2,0.3,13.58,0.72,72.27
2025-08-06T04:35:08.060297,848x480,848x480,IMPORTANCE,10,7,0,0,8,6,10,10,True,True,False,49163,35071,84234,16.23,22.82,14.26,7.16,17.01,0.5,11.98,0.61,69.14
