mean_pos_error,max_pos_error,mean_color_error
0.35,0.83,44.83
0.34,0.85,45.81
0.32,0.88,46.51
0.33,0.82,41.22
0.33,0.8,42.4
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.31,0.95,50.45
0.3,0.84,50.92
0.33,0.86,38.47
0.32,0.81,43.46
0.31,0.94,51.05
0.32,0.8,43.73
0.31,0.82,43.31
0.3,0.83,43.32
0.29,0.81,40.75
0.29,0.81,41.14
0.25,0.83,43.66
0.29,0.87,41.57
0.03,0.28,10.45
0.02,0.31,7.51
0.02,0.27,4.82
0.02,0.27,5.82
0.02,0.3,7.04
0.03,0.28,10.86
0.03,0.29,11.6
0.31,0.94,39.44
0.31,0.92,38.92
0.31,0.92,40.11
0.31,0.91,40.5
0.3,0.93,40.21
0.29,0.86,39.09
0.28,0.87,41.13
0.02,0.26,7.97
0.02,0.26,8.09
0.02,0.26,7.78
0.03,0.26,8.46
0.03,0.26,9.35
0.04,0.27,12.04
0.03,0.26,10.99
0.32,0.87,37.55
0.32,0.92,36.37
0.32,0.92,36.26
0.31,0.92,37.39
0.31,0.92,38.15
0.27,0.92,39.77
0.29,0.92,38.69
0.02,0.25,7.76
